Zone,Zone_Name,District_Code,District,Block_Code,Block_Name,PC_No,PC_Name,AC_No,AC_Name,Gram_Panchayat_Code,Gram_Panchayat,Organisational_District
3,Nadia & Murshidabad,319,Murshidabad,3003,Berhampore,10,Baharampur,68,Kandi,110554,Satui Chaurigachha,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,74,Nowda,110517,Chaitanyapur-I,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,74,Nowda,110518,Chaitanyapur-Ii,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,74,Nowda,110521,Madda,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,74,Nowda,110523,Mahula-Ii,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,70,Rejinagar,110514,Begunbari,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,70,Rejinagar,110524,Mirjapur-I,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,70,Rejinagar,110520,Kapasdanga,Berhampur
2,Neck Zone,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,39,Balurghat,109183,Amritakhand,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,39,Balurghat,109187,Chingishpur,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,39,Balurghat,109193,Vatpara,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,41,Gangarampur,109205,Gangarampur,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,41,Gangarampur,109204,Damdama,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,41,Gangarampur,109206,Nandanpur,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,41,Gangarampur,109201,Belbari-I,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,41,Gangarampur,109238,Autina,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,41,Gangarampur,109241,Gurail,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,41,Gangarampur,109246,Rampara Chenchra,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,41,Gangarampur,109237,Ajmatpur,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,41,Gangarampur,109245,Ramchandrapur,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,41,Gangarampur,109243,Hazratpur,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,38,Kumarganj,109200,Basuria,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,38,Kumarganj,109203,Chaloon,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,38,Kumarganj,109199,Ashokegram,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,38,Kumarganj,109209,Uday,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,37,Kushmandi,109207,Sukdevpur,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,37,Kushmandi,109208,Jahangirpur,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,37,Kushmandi,109202,Belbari-Ii,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan,109189,Gopalbati,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan,109185,Bolla,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan,109184,Boaldar,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan,109190,Jalghar,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan,109188,Danga,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan,109191,Najirpur,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan,109186,Chakvrigu,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan,109192,Patriram,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,40,Tapan,109244,Malancha,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,40,Tapan,109247,Tapanchandipur,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,40,Tapan,109240,Gophanagar,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,40,Tapan,109242,Harsura,Dakshin Dinajpur
2,Neck Zone,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,40,Tapan,109239,Dwipkhanda,Dakshin Dinajpur
8,Jangal Mahal,305,Bankura,2775,Bankura-Ii,36,Bankura,252,Bankura,108300,Purandarpur,Bankura
